n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft,fenster_s,leseart
134,44.776119402985074,1006,47.61431411530815,-2.838194712323072,-11.805596258967066,6.129206834320922,weit_fremd@30s,please_relay,mitgebracht,30,weit_fremd
104,42.30769230769231,1036,59.84555984555985,-17.53786753786754,-27.491322751668466,-7.584412324066616,eng_fremd@30s,runde,erfunden,30,eng_fremd
122,42.62295081967213,1018,50.19646365422397,-7.573512834551837,-16.870916669845386,1.7238910007417105,eng_fremd@30s,cohort,erfunden,30,eng_fremd
127,51.181102362204726,1013,56.76209279368213,-5.580990431477407,-14.794415091886053,3.6324342289312432,eng_fremd@30s,meldeformat,erfunden,30,eng_fremd
127,71.65354330708661,1013,69.79269496544916,1.8608483416374444,-6.471871362365256,10.193568045640145,eng_fremd@30s,sig_endzeile,mitgebracht,30,eng_fremd
124,42.74193548387097,1016,47.83464566929133,-5.092710185420368,-14.326051683311924,4.1406313124711875,eng_fremd@30s,please_relay,mitgebracht,30,eng_fremd
431,70.99767981438515,709,50.49365303244006,20.504026781945093,14.856220330007524,26.151833233882666,weit@2min,runde,erfunden,120,weit
477,52.620545073375254,663,47.05882352941176,5.561721543963493,-0.3131753113496095,11.436618399276597,weit@2min,cohort,erfunden,120,weit
484,60.9504132231405,656,52.59146341463414,8.358949808506356,2.5717112050915683,14.146188411921143,weit@2min,meldeformat,erfunden,120,weit
501,77.64471057884231,639,64.00625978090767,13.638450797934642,8.426925354871175,18.84997624099811,weit@2min,sig_endzeile,mitgebracht,120,weit
466,50.858369098712444,674,44.80712166172107,6.051247436991375,0.16066782961152715,11.941827044371223,weit@2min,please_relay,mitgebracht,120,weit
183,48.63387978142077,957,60.083594566353185,-11.449714784932418,-19.32810699577829,-3.5713225740865493,eng@2min,runde,erfunden,120,eng
206,47.57281553398058,934,49.78586723768736,-2.213051703706781,-9.74922866007998,5.323125252666418,eng@2min,cohort,erfunden,120,eng
212,51.886792452830186,928,57.11206896551724,-5.225276512687049,-12.666857327491227,2.216304302117128,eng@2min,meldeformat,erfunden,120,eng
213,70.4225352112676,927,69.90291262135922,0.5196225899083751,-6.283728752222542,7.322973932039292,eng@2min,sig_endzeile,mitgebracht,120,eng
203,44.827586206896555,937,47.81216648879402,-2.98458028189747,-10.536676652114354,4.5675160883194135,eng@2min,please_relay,mitgebracht,120,eng
196,50.51020408163265,944,59.85169491525424,-9.341490833621592,-17.00788885615438,-1.675092811088799,weit_fremd@2min,runde,erfunden,120,weit_fremd
220,47.27272727272727,920,49.891304347826086,-2.6185770750988158,-9.96457906684928,4.727424916651649,weit_fremd@2min,cohort,erfunden,120,weit_fremd
228,52.19298245614035,912,57.127192982456144,-4.9342105263157965,-12.170128417287215,2.301707364655621,weit_fremd@2min,meldeformat,erfunden,120,weit_fremd
230,71.30434782608695,910,69.67032967032966,1.6340181557572886,-4.9307409313280415,8.198777242842619,weit_fremd@2min,sig_endzeile,mitgebracht,120,weit_fremd
217,44.70046082949309,923,47.88732394366197,-3.186863114168881,-10.545360975844286,4.171634747506525,weit_fremd@2min,please_relay,mitgebracht,120,weit_fremd
175,47.42857142857143,965,60.207253886010356,-12.778682457438927,-20.795690257678142,-4.7616746571997135,eng_fremd@2min,runde,erfunden,120,eng_fremd
198,46.464646464646464,942,50.0,-3.535353535353536,-11.181128779534065,4.110421708826993,eng_fremd@2min,cohort,erfunden,120,eng_fremd
204,50.49019607843137,936,57.37179487179487,-6.881598793363497,-14.438817202957877,0.6756196162308812,eng_fremd@2min,meldeformat,erfunden,120,eng_fremd
205,69.7560975609756,935,70.05347593582889,-0.29737837485327434,-7.236692282952138,6.641935533245589,eng_fremd@2min,sig_endzeile,mitgebracht,120,eng_fremd
195,43.58974358974359,945,48.042328042328045,-4.452584452584452,-12.10693902198785,3.201770116818947,eng_fremd@2min,please_relay,mitgebracht,120,eng_fremd
505,70.29702970297029,635,48.661417322834644,21.635612380135647,16.06807370683426,27.20315105343704,weit@10min,runde,erfunden,600,weit
547,53.199268738574034,593,45.86846543001686,7.330803308557171,1.5367772116000717,13.124829405514271,weit@10min,cohort,erfunden,600,weit
553,61.84448462929476,587,50.76660988074957,11.077874748545192,5.355129187252334,16.80062030983805,weit@10min,meldeformat,erfunden,600,weit
