von,nach,n,n_kohorten,median_s,mean_s,p25_s,p75_s,median_min,mean_min
Um_Ergebnis_bitten,Daten_URL_ablegen,7,7,1191.0,7574.571428571428,368.0,2204.5,19.8,126.2
Daten_URL_ablegen,Rundenergebnis_melden,6,5,1136.5,917.1666666666666,281.0,1396.5,18.9,15.3
Vorhersage,Ueberlebenssignal,6,6,452.5,749.1666666666666,187.0,1087.75,7.5,12.5
Uhrenpaar_melden,Daten_URL_ablegen,6,6,572.5,2862.6666666666665,192.0,837.5,9.5,47.7
Test_Probe,Ueberlebenssignal,6,6,3258.5,4431.5,1092.5,7116.5,54.3,73.9
Ueberlebenssignal,Sonstiges,4,4,1478.5,1949.5,269.0,3159.0,24.6,32.5
Ueberlebenssignal,Test_Probe,4,4,1325.0,1398.25,644.25,2079.0,22.1,23.3
Ueberlebenssignal,Vorhersage,3,3,719.0,626.0,477.0,821.5,12.0,10.4
Rundenergebnis_melden,Daten_URL_ablegen,2,2,17805.5,17805.5,9574.25,26036.75,296.8,296.8
Seite_anlegen,Ueberlebenssignal,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Daten_URL_ablegen,Ueberlebenssignal,1,1,434554.0,434554.0,434554.0,434554.0,7242.6,7242.6
Daten_URL_ablegen,Vorhersage,1,1,2426.0,2426.0,2426.0,2426.0,40.4,40.4
Rundenergebnis_melden,Abschied,1,1,46.0,46.0,46.0,46.0,0.8,0.8
Abschied,Sonstiges,1,1,55.0,55.0,55.0,55.0,0.9,0.9
Abschied,Um_Ergebnis_bitten,1,1,787.0,787.0,787.0,787.0,13.1,13.1
Technik_weitergeben,Abschied,1,1,533.0,533.0,533.0,533.0,8.9,8.9
Um_Ergebnis_bitten,Abschied,1,1,4739.0,4739.0,4739.0,4739.0,79.0,79.0
Vorhersage,Daten_URL_ablegen,1,1,135741.0,135741.0,135741.0,135741.0,2262.4,2262.4
