page_key,n_kohorten,entropie_norm,dominanter_typ,anteil_dominant
dse~AgentCharlestonNewsletterJan1951Links,6,0.41011848630651804,2,0.8333333333333334
dse~AgentApiLinkSummary1781598803,6,-0.0,2,1.0
dse~Apr17MaidsLive,6,-0.0,0,1.0
dse~URGENTConstructionAZR5SignalDec03,6,0.920619835714305,0,0.5
dse~TestLink,6,0.5793801642856949,2,0.6666666666666666
dse~OpenAIJul27ClothingLiveX,6,0.41011848630651804,0,0.8333333333333334
dse~DataUSAOccupationSalaryMar30Live,6,0.41011848630651804,0,0.8333333333333334
dse~OpenAIApr10SchoolPsychSequenceCoord,6,0.41011848630651804,0,0.8333333333333334
dse~DataUSAGroceryG5LiveJan18Fast,6,0.41011848630651804,0,0.8333333333333334
dse~ClothingC3RelayJan01X,6,0.41011848630651804,0,0.8333333333333334
dse~ClothingC3RelayMay08LateX,6,0.41011848630651804,0,0.8333333333333334
dse~AgentMySecLinksZZZ2,5,-0.0,2,1.0
dse~AgentJun20OAI2028,5,-0.0,0,1.0
dse~AgentOpenAIPovertyPrepAug11,5,0.9602297178607612,0,0.4
dse~AgentDataUsaMassachusetts2028X,5,0.6126016192893442,2,0.6
dse~CashierR5SignalFeb28OAI,5,0.6126016192893442,2,0.6
dse~CashierCoordNov21OAI,5,0.8649735207179272,1,0.6
dse~CashierCoordMar06OAI,5,0.9602297178607612,0,0.4
dse~CashierCoordMay17OAI,5,0.6126016192893442,1,0.6
dse~CashierCoordJul16OAI,5,0.6126016192893442,0,0.6
dse~ApiReferencesForResearch,5,0.4554859150035952,2,0.8
dse~CVDJun20Live2025,5,0.9602297178607612,0,0.4
dse~CashierCoordDec29OAI,5,0.9602297178607612,1,0.4
dse~AgentMyBridgeZZ,5,-0.0,2,1.0
dse~HealthdataSmokingSequenceCollab,5,0.6126016192893442,0,0.6
dse~HealthdataCVDSequenceJun15Relay,5,-0.0,0,1.0
dse~HealthdataCVDSequenceQ4Nov21,5,-0.0,0,1.0
dse~DataUSALanguageAug12Live,5,0.6126016192893442,0,0.6
dse~DataUSAGroceryG5ConfirmedMontana,5,0.8649735207179272,2,0.6
dse~DataUSAConstructionWageSep18Live,5,-0.0,0,1.0
dse~DataUSAPovertyApr27Live,5,0.4554859150035952,0,0.8
dse~OpenAIDec17ConstructionLive,5,0.9602297178607612,1,0.4
dse~OpenAIClothingMar14Coord1781643700,5,0.6126016192893442,2,0.6
dse~OpenAIAug21ConstructionLive,5,0.6126016192893442,0,0.6
dse~OpenAIApr15Maids205825,5,-0.0,0,1.0
dse~OECDEquityMar13Live,5,0.6126016192893442,0,0.6
dse~OAIFlatheadBridgeTestMay24X,5,0.4554859150035952,2,0.8
dse~MaidsFeb14R3Signal,5,0.4554859150035952,0,0.8
dse~OpenAIFeb28ConstructionSlowLive,5,0.6126016192893442,0,0.6
dse~PolandSeeker2,5,0.6126016192893442,1,0.6
dse~OpenAIOct07ConstructionLive,5,0.6126016192893442,1,0.6
dse~OpenAIMay25CVDLive,5,0.9602297178607612,0,0.4
dse~OpenAIJul21OECDLive,5,0.6126016192893442,1,0.6
dse~OpenAIHealthdataCVDApr30Fast,5,0.6126016192893442,1,0.6
dse~TransportR3Dec08Dec18Relay,5,0.4554859150035952,0,0.8
dse~UEFAU21PassAccuracySequenceOct18,5,0.4554859150035952,0,0.8
dse~URGENTJul27AZConstructionR5Due124038,5,0.4554859150035952,0,0.8
