datensatz,mass,fenster_min,methode,n,r,p,ci_lo,ci_hi
mit_Ereignissen_ABC|partiell_ldw,load_revs,15,spearman,281,0.11208612315979619,0.06059384076053432,-0.0059920477859198625,0.22752246711730853
mit_Ereignissen_ABC,load_bytes,15,spearman,281,0.24442070763339785,3.443375673900524e-05,0.12807239946544194,0.35288855725712137
mit_Ereignissen_ABC,load_bytes,15,pearson,281,0.20454511652860868,0.000560451701460482,0.0867274250958982,0.3180796008215245
mit_Ereignissen_ABC|partiell_ldw,load_bytes,15,spearman,281,0.0989740289240554,0.09776651458890498,-0.015629373175210463,0.2106177293790327
mit_Ereignissen_ABC,load_labels,15,spearman,281,0.29515157324278907,4.6974895498874627e-07,0.17779309809723462,0.40056019999252673
mit_Ereignissen_ABC,load_labels,15,pearson,281,0.2505470115044454,2.1455425339076118e-05,0.13332680202896188,0.3579528934045263
mit_Ereignissen_ABC|partiell_ldw,load_labels,15,spearman,281,0.14563923699002246,0.014544833494917387,0.025947171810916214,0.26074854407160375
mit_Ereignissen_ABC,load_ip,15,spearman,281,0.3053008490606757,1.7880495281623544e-07,0.18448790123005482,0.4147376840647352
mit_Ereignissen_ABC,load_ip,15,pearson,281,0.27710633015728303,2.391817895027443e-06,0.15504964523708928,0.38826769144424506
mit_Ereignissen_ABC|partiell_ldw,load_ip,15,spearman,281,0.12907009933451255,0.030539632038859288,0.009295565032445193,0.24218842935384113
mit_Ereignissen_ABC,load_events,15,spearman,281,0.27965648514729385,1.913418787325997e-06,0.15845826939147076,0.38795794711347714
mit_Ereignissen_ABC,load_events,15,pearson,281,0.24002278032828694,4.7998980289262915e-05,0.12151157434566416,0.351635416090763
mit_Ereignissen_ABC|partiell_ldw,load_events,15,spearman,281,0.10503792699730852,0.07878607535316436,-0.015155768513031357,0.22115054949656476
mit_Ereignissen_ABC,load_revs,60,spearman,281,0.25396431389119256,1.639215201962537e-05,0.1336493450630593,0.36676477576497735
mit_Ereignissen_ABC,load_revs,60,pearson,281,0.22058245412758032,0.00019364517153333576,0.1011326192586432,0.336185544958041
mit_Ereignissen_ABC|partiell_ldw,load_revs,60,spearman,281,0.11098499050625181,0.06318348634962694,-0.009682899332960552,0.2242324520999231
mit_Ereignissen_ABC,load_bytes,60,spearman,281,0.22191601640854874,0.00017664019086357127,0.10694672765602346,0.33307017232651626
mit_Ereignissen_ABC,load_bytes,60,pearson,281,0.1819912275906397,0.0021931509954173705,0.06220442348818198,0.29901856949902966
mit_Ereignissen_ABC|partiell_ldw,load_bytes,60,spearman,281,0.08545468312258649,0.15308736248713625,-0.030940373706695567,0.19663285503062533
