praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
log_kadenz_s,Cadence (log s),n_deltas>=5,basis,False,spearman,-0.1074849338571537,-0.3424117007892106,0.1400910985421377,0.39408661638415965,,65,,,,,,,,,,0.39408661638415965
log_r1_frist_s,Initial deadline (log s),n_deltas>=5,basis,False,OLS_std_FE_HC1,-0.04328803619913394,-0.20927772673752648,0.12270165433925861,0.6092571561595452,0.08469017382344679,47,4.0,18.0,,,,,,,,0.740422387882409
log_r1_frist_s,Initial deadline (log s),n_deltas>=5,basis,False,OLS_std_FE_cluster,-0.04328803619913394,-0.10157180928201676,0.014995736883748882,0.14547887518774483,0.02973716534722974,47,4.0,18.0,,,,,,,,0.363630195548625
log_r1_frist_s,Initial deadline (log s),n_deltas>=5,basis,False,spearman,-0.20100234933741792,-0.4615334162101132,0.09144802576596969,0.17549092252005466,,47,,,,,,,,,,0.2351687012400383
log_folgefrist_s,Answer deadline (log s),n_deltas>=5,basis,False,OLS_std_FE_HC1,0.0493825687801852,-0.1192890092289593,0.21805414678932972,0.5660858762964172,0.08605850890098206,138,12.0,22.0,,,,,,,,0.740422387882409
log_folgefrist_s,Answer deadline (log s),n_deltas>=5,basis,False,OLS_std_FE_cluster,0.0493825687801852,-0.12075278239396983,0.21951791995434025,0.569431764085433,0.08680534566765563,138,12.0,22.0,,,,,,,,0.695972156104418
log_folgefrist_s,Answer deadline (log s),n_deltas>=5,basis,False,spearman,-0.11270310505764099,-0.2746385301548182,0.05544904874513024,0.18813496099203064,,138,,,,,,,,,,0.2351687012400383
clock_wait_b,\texttt{clock.wait} used,n_deltas>=5,basis,True,OLS_std_FE_HC1,0.023956987801518982,-0.22770005658487494,0.2756140321879129,0.8519878866090688,0.1283988105758231,256,13.0,18.0,,,,,,,,0.9294413308462569
clock_wait_b,\texttt{clock.wait} used,n_deltas>=5,basis,True,OLS_std_FE_cluster,0.023956987801518982,-0.20028893883403617,0.24820291443707412,0.8341438727670928,0.11441328942999893,256,13.0,18.0,,,,,,,,0.9175582600438021
clock_wait_b,\texttt{clock.wait} used,n_deltas>=5,basis,True,rankbiserial_boot,-0.05775322283609574,-0.2048629530750917,0.09224860735145518,0.45242769156191254,,256,,,75.0,2000.0,,,,,,0.6333987681866775
clock_wait_b,\texttt{clock.wait} used,n_deltas>=5,basis,True,rankbiserial_clusterboot,-0.05775322283609574,-0.2607967343849976,0.15752611215417361,0.45242769156191254,,256,,,75.0,2000.0,,,,,,0.6333987681866775
counterapi_b,\texttt{counterapi} used,n_deltas>=5,basis,True,OLS_std_FE_HC1,0.23629688240290408,-0.008479644075408771,0.48107340888121697,0.05848216819503208,0.1248882777485091,256,13.0,13.0,,,,,,,,0.23392867278012833
counterapi_b,\texttt{counterapi} used,n_deltas>=5,basis,True,OLS_std_FE_cluster,0.23629688240290408,0.010658571958933466,0.4619351928468747,0.04011647119850447,0.1151237023862565,256,13.0,13.0,,,,,,,,0.22064059159177457
counterapi_b,\texttt{counterapi} used,n_deltas>=5,basis,True,rankbiserial_boot,0.09292074407123341,-0.06876370614035085,0.2556681792314124,0.26897618113201727,,256,,,57.0,2000.0,,,,,,0.6276110893080403
counterapi_b,\texttt{counterapi} used,n_deltas>=5,basis,True,rankbiserial_clusterboot,0.09292074407123341,-0.09878758127161985,0.3228555217010873,0.26897618113201727,,256,,,57.0,2000.0,,,,,,0.6276110893080403
umleitung_b,Redirect services,n_deltas>=5,basis,True,OLS_std_FE_HC1,-0.3165370634208826,-1.160534586368775,0.5274604595270097,0.46229398850507264,0.4306188938190891,256,13.0,4.0,,,,,,,,0.740422387882409
umleitung_b,Redirect services,n_deltas>=5,basis,True,OLS_std_FE_cluster,-0.3165370634208826,-1.3423581205230897,0.7092839936813244,0.5453218252527372,0.5233877077302199,256,13.0,4.0,,,,,,,,0.695972156104418
umleitung_b,Redirect services,n_deltas>=5,basis,True,rankbiserial_boot,-0.31866666666666665,-0.7351778656126482,0.1444526836878854,0.16850926121863619,,256,,,6.0,1993.0,,,,,,0.6276110893080403
umleitung_b,Redirect services,n_deltas>=5,basis,True,rankbiserial_clusterboot,-0.31866666666666665,-0.7427721356630711,0.294331797235023,0.16850926121863619,,256,,,6.0,1976.0,,,,,,0.6276110893080403
blob_ausbruch_b,Blob egress,n_deltas>=5,basis,True,OLS_std_FE_HC1,0.427404206324461,-0.32921568531914097,1.184024097968063,0.26822614535572564,0.38603765049343924,256,13.0,1.0,,,,,,,,0.6437427488537415
blob_ausbruch_b,Blob egress,n_deltas>=5,basis,True,OLS_std_FE_cluster,,,,,,256,13.0,1.0,,,Cluster-SE degeneriert: behandelte Kohorten in 1 Familie,,,,,
blob_ausbruch_b,Blob egress,n_deltas>=5,basis,True,rankbiserial_boot,-0.09466437177280551,-0.5465745967741935,0.4231086836988397,0.6605187788472497,,256,,,7.0,1996.0,,,,,,0.6605187788472497
blob_ausbruch_b,Blob egress,n_deltas>=5,basis,True,rankbiserial_clusterboot,-0.09466437177280551,-0.2208584145824502,0.10069638857782728,0.6605187788472497,,256,,,7.0,1247.0,,,,,,0.6605187788472497
beobachtung_auf_fremder_seite_b,Observation on foreign page,n_deltas>=5,basis,True,OLS_std_FE_HC1,0.07684902994331579,-0.19916396744396875,0.3528620273306003,0.5852695857983935,0.14082554555310192,256,13.0,25.0,,,,,,,,0.740422387882409
beobachtung_auf_fremder_seite_b,Observation on foreign page,n_deltas>=5,basis,True,OLS_std_FE_cluster,0.07684902994331579,-0.15138704766349842,0.30508510755013,0.5092945441724216,0.11644911815069628,256,13.0,25.0,,,,,,,,0.695972156104418
beobachtung_auf_fremder_seite_b,Observation on foreign page,n_deltas>=5,basis,True,rankbiserial_boot,0.10221088435374148,-0.06099573319400906,0.26186046026687004,0.21562840006058648,,256,,,196.0,2000.0,,,,,,0.6276110893080403
beobachtung_auf_fremder_seite_b,Observation on foreign page,n_deltas>=5,basis,True,rankbiserial_clusterboot,0.10221088435374148,-0.06632273953678242,0.2413918636686811,0.21562840006058648,,256,,,196.0,2000.0,,,,,,0.6276110893080403
bitten_quote,Request rate,n_deltas>=5,basis,False,OLS_std_FE_HC1,-0.1309857382369622,-0.23060721706262655,-0.03136425941129782,0.009965390940589933,0.050828219095588434,256,13.0,27.0,,,,,,,,0.1195846912870792
bitten_quote,Request rate,n_deltas>=5,basis,False,OLS_std_FE_cluster,-0.1309857382369622,-0.2330285748927856,-0.02894290158113877,0.011873627052682583,0.05206362844456546,256,13.0,27.0,,,,,,,,0.13060989757950842
bitten_quote,Request rate,n_deltas>=5,basis,False,spearman,-0.19495316592902504,-0.3101442946549569,-0.0741205791397256,0.001723751536981734,,256,,,,,,,,,,0.004309378842454335
zukunft_erhalten_n_b,Future answer received,n_deltas>=5,basis,True,OLS_std_FE_HC1,-0.11581991062224246,-0.5697528703192096,0.33811304907472467,0.6170186565686742,0.2316027045790292,256,13.0,4.0,,,,,,,,0.740422387882409
zukunft_erhalten_n_b,Future answer received,n_deltas>=5,basis,True,OLS_std_FE_cluster,-0.11581991062224246,-0.29322227349740343,0.061582452252918515,0.20068824994178325,0.09051307282913777,256,13.0,4.0,,,,,,,,0.36792845822660264
zukunft_erhalten_n_b,Future answer received,n_deltas>=5,basis,True,rankbiserial_boot,-0.13306772908366538,-0.5562107974910394,0.2810195303417808,0.6003463628294984,,256,,,5.0,1992.0,,,,,,0.6605187788472497
zukunft_erhalten_n_b,Future answer received,n_deltas>=5,basis,True,rankbiserial_clusterboot,-0.13306772908366538,-0.46435998164821934,0.31060111835973897,0.6003463628294984,,256,,,5.0,1979.0,,,,,,0.6605187788472497
zukunft_erhalten_n_b,Future answer received,n_deltas>=5,basis,True,permutation_meandiff,-0.24621513944223095,-1.196,0.704,0.68964,,256,,,5.0,,,False,100000.0,3.2,3.446215139442231,0.68964
exp_runde_max_vor,Highest round visible on arrival,n_deltas>=5,basis,False,OLS_std_FE_HC1,0.12843041881952838,0.00898599432370703,0.24787484331534973,0.03508160543081568,0.06094215273238883,256,13.0,27.0,,,,,,,,0.21048963258489406
exp_runde_max_vor,Highest round visible on arrival,n_deltas>=5,basis,False,OLS_std_FE_cluster,0.12843041881952838,-0.05298743319637675,0.30984827083543354,0.16528645252210228,0.09256182942488025,256,13.0,27.0,,,,,,,,0.363630195548625
exp_runde_max_vor,Highest round visible on arrival,n_deltas>=5,basis,False,spearman,0.3863657759839753,0.27687724934497393,0.48595048750011116,1.5343068425344924e-10,,256,,,,,,,,,,7.671534212672462e-10
exp_vorsprung_b,Answer ahead visible on arrival,n_deltas>=5,basis,True,OLS_std_FE_HC1,-0.1787319387017592,-0.4151493075716083,0.057685430168089885,0.1384105133430271,0.12062332304811678,256,13.0,24.0,,,,,,,,0.4152315400290813
exp_vorsprung_b,Answer ahead visible on arrival,n_deltas>=5,basis,True,OLS_std_FE_cluster,-0.1787319387017592,-0.4116211331159026,0.05415725571238417,0.13253403750786105,0.11882320096243791,256,13.0,24.0,,,,,,,,0.363630195548625
exp_vorsprung_b,Answer ahead visible on arrival,n_deltas>=5,basis,True,rankbiserial_boot,0.06543138390272141,-0.07436024395660332,0.19721261143457933,0.3622156346325548,,256,,,157.0,2000.0,,,,,,0.6333987681866775
exp_vorsprung_b,Answer ahead visible on arrival,n_deltas>=5,basis,True,rankbiserial_clusterboot,0.06543138390272141,-0.1646306499006136,0.2926037815590733,0.3622156346325548,,256,,,157.0,2000.0,,,,,,0.6333987681866775
