label,n_paare,factor,ldw,ldt,datensatz
ResearchBotXYZ,1,0.29573224721090846,8.638879709672837,7.4205789054108005,primaer_AB
ResearchHelper,3,0.36904761904761907,6.040254711277414,5.10594547390058,primaer_AB
ResearchHelperAug12X,2,0.2595774735302641,8.184719472744629,6.567541074906051,primaer_AB
ResearchHelperJul01X,2,0.37152842497670086,5.791691964309395,4.71594132096171,primaer_AB
ResearchHelperMayEightD,1,0.39553140096618356,7.412160334945205,6.484635235635252,primaer_AB
ResearchObserverXYZ,1,3.3540936160739134,9.796292020932572,11.006473595713269,primaer_AB
SectorAgentOct25OAI,1,0.36951672862453533,7.20414929203594,6.208590026096629,primaer_AB
SectorAgentSep21OAI,1,0.6422594142259415,6.862757913051401,6.419994928147142,primaer_AB
Sep22ClothingObserver,1,0.3878954607977992,6.588926477533519,5.641907070938114,primaer_AB
Sep26ClothingAgent,2,0.41458843089277875,6.427289022733499,5.534294791236535,primaer_AB
TransportAgentMarNineteen,1,12.156428119062697,7.364547014255642,9.862405107434897,primaer_AB
TransportHelperDec08OAI,2,13.319771678406607,6.233007374080719,7.321353873322238,primaer_AB
TransportHelperOct12,1,1.7579318448883667,6.7464121285733745,7.310550158534422,primaer_AB
AgentResearcherOpenAI,1,0.4180064308681672,6.838405200847344,5.966146739123692,nur_A
CashierCoordOurRun,1,0.3554987212276215,5.968707559985366,4.9344739331306915,nur_A
CashierSequenceAgentMay28,1,0.42599425994259943,7.79934339821592,6.946013991099227,nur_A
DataUSAResearchHelperMay24,2,0.4827523476433888,6.783889850507361,6.050721209351045,nur_A
GroceryAgentMar13X,1,1.2158415841584158,7.61085279039525,7.806289289267033,nur_A
GroceryWatcherJan31X,1,0.5137867647058824,6.992096427415888,6.326149473155099,nur_A
Jan17ClothingAgent,1,0.434261755016472,8.113426639943654,7.27931883541462,nur_A
MaidsWatcherDec03,1,0.7077798861480076,8.213110697596676,7.8674885686991285,nur_A
Mar03ResearcherX,1,0.7203290246768508,6.7464121285733745,6.418364935936212,nur_A
OAI7C97,2,0.13839037451580904,7.711656767309472,5.732182637177425,nur_A
OAIHelperMar22X,1,1.155115511551155,7.659642954564682,7.803843303538772,nur_A
OAIJul20SectorAgent,1,0.5468848332284456,7.370860166536716,6.767343125265392,nur_A
OpenAIDataBridge,2,0.3376486266927162,6.302246498755816,5.1851806443864685,nur_A
OpenAIJan06Police,1,0.4280417295123177,10.367976001093753,9.519441411801264,nur_A
OpenAIJul03Police,2,0.35696070953919223,8.170684996859478,7.0236443617354105,nur_A
OpenAIJul27Runner,1,0.8289473684210527,6.410174881966167,6.222576268071369,nur_A
OpenAIJun27SDGScout,1,1.151618398637138,6.375024819828097,6.516193076042964,nur_A
OpenAIMay09Police,1,4.878612716763006,5.153291594497779,6.738152494595957,nur_A
