t,at_risk,events,censored,S,S_lo,S_hi
1.0994444444444444,348,1,0,0.6130742049469947,0.5729489116983278,0.6531994981956616
1.1047222222222222,347,1,0,0.6113074204946979,0.571148612416117,0.6514662285732787
1.1152777777777778,346,1,0,0.609540636042401,0.5693488682169032,0.6497324038678989
1.1163888888888889,345,1,0,0.6077738515901042,0.5675496777361788,0.6479980254440296
1.1211111111111112,344,1,0,0.6060070671378074,0.5657510396367168,0.646263094638898
1.1222222222222222,343,1,0,0.6042402826855106,0.5639529526082769,0.6445276127627442
1.1319444444444444,342,1,0,0.6024734982332137,0.5621554153673205,0.642791581099107
1.1455555555555557,341,1,0,0.6007067137809169,0.560358426656731,0.6410550009051028
1.1636111111111112,340,1,0,0.5989399293286201,0.5585619852455427,0.6393178734116974
1.166111111111111,339,1,0,0.5971731448763232,0.5567660899286763,0.6375801998239702
1.1736111111111112,338,2,0,0.5936395759717296,0.5531759328854824,0.6341032190579767
1.1802777777777778,336,1,0,0.5918727915194327,0.5513816688761397,0.6323639141627257
1.1922222222222223,335,1,0,0.5901060070671359,0.5495879463946054,0.6306240677396664
1.1930555555555555,334,1,0,0.5883392226148391,0.5477947643614948,0.6288836808681834
1.2113888888888888,333,1,0,0.5865724381625422,0.5460021217218592,0.6271427546032252
1.2152777777777777,332,1,0,0.5848056537102454,0.544210017444967,0.6254012899755238
1.2358333333333333,331,1,0,0.5830388692579486,0.5424184505240892,0.6236592879918079
1.2502777777777778,330,1,0,0.5812720848056517,0.5406274199762916,0.6219167496350119
1.27,329,1,0,0.5795053003533549,0.5388369248422329,0.6201736758644769
1.2786111111111111,328,1,0,0.5777385159010581,0.5370469641859675,0.6184300676161486
1.283611111111111,327,1,0,0.5759717314487612,0.5352575370947549,0.6166859258027676
1.3002777777777779,326,1,0,0.5742049469964644,0.5334686426788734,0.6149412513140554
1.3111111111111111,325,1,0,0.5724381625441676,0.5316802800714407,0.6131960450168944
1.3130555555555556,324,1,0,0.5706713780918707,0.529892448428238,0.6114503077555035
1.32,323,1,0,0.5689045936395739,0.5281051469275406,0.6097040403516072
1.3211111111111111,322,1,0,0.5671378091872771,0.5263183747699527,0.6079572436046015
1.3225,321,1,0,0.5653710247349802,0.5245321311782479,0.6062099182917126
1.3405555555555555,320,1,0,0.5636042402826834,0.5227464153972147,0.6044620651681522
1.3447222222222222,319,1,0,0.5618374558303866,0.5209612266935055,0.6027136849672676
1.3466666666666667,318,1,0,0.5600706713780897,0.5191765643554925,0.600964778400687
1.3525,317,1,0,0.5583038869257929,0.5173924276931265,0.5992153461584593
1.355,316,1,0,0.5565371024734961,0.5156088160378014,0.5974653889091908
1.3652777777777778,315,1,0,0.5547703180211992,0.5138257287422229,0.5957149073001756
1.3680555555555556,314,1,0,0.5530035335689024,0.5120431651802816,0.5939639019575232
1.37,313,1,0,0.5512367491166056,0.5102611247469313,0.5922123734862799
1.3747222222222222,312,1,0,0.5494699646643088,0.5084796068580707,0.5904603224705468
1.3791666666666667,311,1,0,0.5477031802120119,0.5066986109504302,0.5887077494735936
1.3833333333333333,310,1,0,0.5459363957597151,0.5049181364814627,0.5869546550379675
1.3841666666666668,309,1,0,0.5441696113074183,0.5031381829292386,0.5852010396855979
1.3944444444444444,308,1,0,0.5424028268551214,0.5013587497923455,0.5834469039178973
1.4,307,1,0,0.5406360424028246,0.4995798365897914,0.5816922482158579
1.4166666666666667,306,1,0,0.5388692579505278,0.49780144286091216,0.5799370730401434
1.4316666666666666,305,1,0,0.5371024734982309,0.4960235681652838,0.578181378831178
1.436388888888889,304,1,0,0.5353356890459341,0.49424621208263775,0.5764251660092304
1.4391666666666667,303,1,0,0.5335689045936373,0.4924693742127807,0.5746684349744938
1.4552777777777777,302,1,0,0.5318021201413404,0.49069305417551856,0.5729111861071623
1.456388888888889,301,1,0,0.5300353356890436,0.48891725161058375,0.5711534197675034
1.4691666666666667,300,1,0,0.5282685512367468,0.48714196617756694,0.5693951362959266
1.4780555555555555,299,1,0,0.5265017667844499,0.48536719755585256,0.5676363360130473
1.481111111111111,298,1,0,0.5247349823321531,0.48359294544455794,0.5658770192197483
1.4941666666666666,297,1,0,0.5229681978798563,0.4818192095624763,0.5641171861972362
1.4969444444444444,296,1,0,0.5212014134275594,0.4800459896480239,0.562356837207095
1.506388888888889,295,1,0,0.5194346289752626,0.47827328545919034,0.5605959724913349
1.5183333333333333,294,1,0,0.5176678445229658,0.4765010967734932,0.5588345922724383
1.5338888888888889,293,1,0,0.5159010600706689,0.474729423387936,0.5570726967534019
1.5719444444444444,292,1,0,0.5141342756183721,0.47295826511897,0.5553102861177742
1.5725,291,1,0,0.5123674911660753,0.47118762180245966,0.5535473605296909
1.5752777777777778,290,1,0,0.5106007067137784,0.4694174932936521,0.5517839201339048
1.583611111111111,289,1,0,0.5088339222614816,0.4676478794671494,0.5500199650558137
1.596111111111111,288,1,0,0.5070671378091848,0.46587878021688567,0.5482554954014839
1.5969444444444445,287,1,0,0.5053003533568879,0.46411019545610654,0.5464905112576693
1.5986111111111112,286,1,0,0.5035335689045911,0.46234212511735345,0.5447250126918288
1.6255555555555556,285,1,0,0.5017667844522943,0.4605745691524506,0.542958999752138
1.6591666666666667,284,1,0,0.49999999999999745,0.4588075275324962,0.5411924724674987
1.6611111111111112,283,1,0,0.4982332155477006,0.45704100024785693,0.5394254308475444
1.6627777777777777,282,1,0,0.49646643109540384,0.4552749873081662,0.5376578748826415
1.665,281,1,0,0.494699646643107,0.4535094887423256,0.5358898045438883
1.6752777777777779,280,1,0,0.49293286219081023,0.4517445045985111,0.5341212197831093
1.6769444444444443,279,1,0,0.4911660777385134,0.44998003494418126,0.5323521205328455
1.6797222222222221,278,1,0,0.4893992932862166,0.44821607986609024,0.530582506706343
