praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
log_r1_frist_s,Initial deadline (log s),alle,eine_je_familie_datum(identisch),False,OLS_std_FE_cluster,-0.0965678739655182,-0.2043364826217977,0.0112007346907613,0.07904424815201719,0.05498499437048055,68,5.0,20.0,,,,,,,,0.21737168241804727
log_r1_frist_s,Initial deadline (log s),alle,eine_je_familie_datum(identisch),False,spearman,-0.27743358652580413,-0.48385660047691575,-0.04176710537259799,0.021990909096079564,,68,,,,,,,,,,0.021990909096079564
log_folgefrist_s,Answer deadline (log s),alle,eine_je_familie_datum(identisch),False,OLS_std_FE_HC1,0.021833095522079286,-0.12585869730934546,0.16952488835350404,0.77201587356898,0.07535434017992104,217,15.0,28.0,,,,,,,,0.8859893810335918
log_folgefrist_s,Answer deadline (log s),alle,eine_je_familie_datum(identisch),False,OLS_std_FE_cluster,0.021833095522079286,-0.1621092693351736,0.2057754603793322,0.8160421074203804,0.09384986984871499,217,15.0,28.0,,,,,,,,0.9224976641825534
log_folgefrist_s,Answer deadline (log s),alle,eine_je_familie_datum(identisch),False,spearman,-0.17412942867189643,-0.30035060395278984,-0.04191467274002872,0.010171759100615305,,217,,,,,,,,,,0.016952931834358843
clock_wait_b,\texttt{clock.wait} used,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,0.042761807900933674,-0.14064339396471676,0.2261670097665841,0.6476889706242586,0.09357580206183749,510,21.0,19.0,,,,,,,,0.8859893810335918
clock_wait_b,\texttt{clock.wait} used,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,0.042761807900933674,-0.10611398199614469,0.19163759779801204,0.5734598865866614,0.07595843141577682,510,21.0,19.0,,,,,,,,0.8347924838461608
clock_wait_b,\texttt{clock.wait} used,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,-0.06570735090152569,-0.18261549752407844,0.0541706669615846,0.2961453829617793,,510,,,98.0,2000.0,,,,,,0.3422037059107965
clock_wait_b,\texttt{clock.wait} used,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,-0.06570735090152569,-0.23791315198576204,0.1318501906849946,0.2961453829617793,,510,,,98.0,2000.0,,,,,,0.3422037059107965
counterapi_b,\texttt{counterapi} used,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,0.1929263938812678,0.00234058912725163,0.38351219863528396,0.04725201051388146,0.09723944228431375,510,21.0,16.0,,,,,,,,0.2835120630832888
counterapi_b,\texttt{counterapi} used,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,0.1929263938812678,0.03839952207420169,0.3474532656883339,0.014404688609975323,0.07884168945243605,510,21.0,16.0,,,,,,,,0.15845157470972854
counterapi_b,\texttt{counterapi} used,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,0.14250769806325359,0.0077112863119372455,0.2750441852832909,0.03551792658553828,,510,,,81.0,2000.0,,,,,,0.124312743049384
counterapi_b,\texttt{counterapi} used,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,0.14250769806325359,-0.033137407595326976,0.35539011565196527,0.03551792658553828,,510,,,81.0,2000.0,,,,,,0.124312743049384
umleitung_b,Redirect services,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,-0.07258774655551695,-0.6712527517157691,0.5260772586047353,0.8121569326141258,0.3054469418226281,510,21.0,5.0,,,,,,,,0.8859893810335918
umleitung_b,Redirect services,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,-0.07258774655551695,-0.7947613614080782,0.6495858682970443,0.8438262733864282,0.3684626965336989,510,21.0,5.0,,,,,,,,0.9224976641825534
umleitung_b,Redirect services,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,-0.2024992899744391,-0.5993275247524752,0.20347327513816435,0.3422037059107965,,510,,,7.0,1999.0,,,,,,0.3422037059107965
umleitung_b,Redirect services,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,-0.2024992899744391,-0.5805351781397523,0.3423420241459029,0.3422037059107965,,510,,,7.0,1994.0,,,,,,0.3422037059107965
blob_ausbruch_b,Blob egress,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,0.14358447699531066,-0.5456394404292,0.8328083944198212,0.6830424923341396,0.3516513175043118,510,21.0,1.0,,,,,,,,0.8859893810335918
