label,min,max,size,ratio,datensatz
OECDEquityJun06Agent,0.2201934967629301,0.8763636363636363,3,3.9799705679190316,mit_Ereignissen_ABC
OECDMay24Agent,4.212150433944069,8.193370165745856,2,1.945175105741404,mit_Ereignissen_ABC
OECDResearchAug10,0.2578677510608204,0.5021239121425611,2,1.9472148420146216,mit_Ereignissen_ABC
OpenAIDataBridge,0.2544529262086514,1.847859721505931,4,7.262088705518309,mit_Ereignissen_ABC
OpenAIFPResearchSep05,0.9648648648648649,3.3006535947712417,2,3.4208454623679536,mit_Ereignissen_ABC
OpenAIFeb28Equity,0.17580835187851812,0.6870956758597208,2,3.9082083900911444,mit_Ereignissen_ABC
OpenAIFebSevenScout,0.4762752075919336,3.161879895561358,2,6.6387665054999365,mit_Ereignissen_ABC
OpenAIHealthdataCVDSept08,0.16153116852334676,9.079590093936806,2,56.209524000468654,mit_Ereignissen_ABC
OpenAIHelperApr18,0.43374283374283373,9.970486965076242,2,22.987093248410293,mit_Ereignissen_ABC
OpenAIHelperAug27,0.17212885154061625,23.405838815789473,2,135.97859165560362,mit_Ereignissen_ABC
OpenAIIvyAug12Helper,3.8275862068965516,6.988469601677149,2,1.825816382420156,mit_Ereignissen_ABC
OpenAIJan06Police,0.07457627118644068,9.907342657342657,2,132.848458359822,mit_Ereignissen_ABC
OpenAIJul03Police,0.19396702911259206,0.5199543899657925,2,2.680632849534312,mit_Ereignissen_ABC
OpenAIJul27Runner,0.8289473684210527,12.177905043414004,2,14.690806084118481,mit_Ereignissen_ABC
OpenAIJun27SDGScout,0.3197158081705151,1.151618398637138,5,3.6020064357372705,mit_Ereignissen_ABC
OpenAIMay09Police,0.31536697247706424,4.878612716763006,3,15.469637414608512,mit_Ereignissen_ABC
OpenAIMay11Police,0.37261541934755615,0.919732441471572,3,2.4683155707351276,mit_Ereignissen_ABC
OpenAIMay31Maids,0.3873239436619718,6.760405356496562,2,17.45413746586385,mit_Ereignissen_ABC
OpenAIOECDJul23,0.23951938256446237,3.497440132122213,2,14.60190859994781,mit_Ereignissen_ABC
OpenAIResearchAgentMar09,1.1609848484848484,22.843825665859566,3,19.676247881849676,mit_Ereignissen_ABC
OpenAIResearchApr23,0.10283038077784565,0.2559643897908861,2,2.489190333194142,mit_Ereignissen_ABC
OpenAIResearchMar22OECD,0.11437330503478363,0.9264248704663213,4,8.100009614871,mit_Ereignissen_ABC
OpenAIResearchMay07,0.3013066005857175,26.405680373039424,5,87.63724499134355,mit_Ereignissen_ABC
OpenAIResearcherOct25,1.480263157894737,4.188311688311688,2,2.829437229437229,mit_Ereignissen_ABC
OpenAIUEFAApr04Scout,0.1829145728643216,0.49862637362637363,2,2.726006822847482,mit_Ereignissen_ABC
OpenAIUEFAOct18Agent,0.125,0.22417235943247504,2,1.7933788754598003,mit_Ereignissen_ABC
OpenAIWatcherOct30,0.5439417576703068,3.8201585043690307,2,7.023102106980541,mit_Ereignissen_ABC
ResearchAgentAug01,0.9337044534412956,7.658536585365853,2,8.202313437768524,mit_Ereignissen_ABC
ResearchHelper,0.1286799195890105,1.2612577639751552,5,9.801511906468962,mit_Ereignissen_ABC
ResearchHelperAug12X,0.09226060341058155,23.079076277116865,2,250.15093576192544,mit_Ereignissen_ABC
ResearchHelperJul01X,0.22413793103448276,2.4954407294832825,3,11.133504793079261,mit_Ereignissen_ABC
ResearchObserverXYZ,3.317014057198255,3.505955757231991,2,1.0569613805596372,mit_Ereignissen_ABC
SectorAgentMay24OAI,0.7142857142857143,1.6947424892703862,3,2.3726394849785404,mit_Ereignissen_ABC
TransportHelperDec08OAI,0.33519553072625696,26.292270531400966,2,78.43860708534622,mit_Ereignissen_ABC
AgentProbeAssistantX2027,0.5477603885590934,2.5051020408163267,2,4.57335377500754,streng_AB_fp
CashierCoordAgentX,0.3369351669941061,0.42532005689900426,2,1.2623201688722634,streng_AB_fp
DataUSAResearchHelperMay24,0.4349962207105064,0.5305084745762711,2,1.219570307323035,streng_AB_fp
OpenAIJul03Police,0.19396702911259206,0.5199543899657925,2,2.680632849534312,streng_AB_fp
OpenAIResearchMar22OECD,0.17368649587494572,0.17467000455166135,2,1.0056625512061903,streng_AB_fp
ResearchHelper,0.3612050415001537,0.36904761904761907,2,1.021712259371834,streng_AB_fp
