ip16,n_revisions,pct,n_labels,rdap_name,is_microsoft,range,anbieter
20.106,10,0.069,9,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
172.17,10,0.069,8,cloud,True,172.170.0.0-172.170.255.255,Microsoft
13.66,9,0.062,9,MSFT,True,13.64.0.0-13.107.255.255,Microsoft
52.246,9,0.062,9,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
3.131,9,0.062,1,AT-88-Z,False,3.128.0.0-3.255.255.255,Amazon AWS
netz-1638e3f4,8,0.055,1,,False,,Cox (US-Privat)
172.177,7,0.048,7,cloud,True,172.177.0.0-172.177.255.255,Microsoft
netz-98e04a49,7,0.048,2,,False,,Cox (US-Privat)
netz-07914411,7,0.048,3,,False,,Tor-Austritt
20.22,6,0.041,6,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
3.129,6,0.041,4,AT-88-Z,False,3.128.0.0-3.255.255.255,Amazon AWS
3.12,6,0.041,2,AT-88-Z,False,3.0.0.0-3.127.255.255,Amazon AWS
netz-70b81814,6,0.041,1,,False,,sonstige
18.22,6,0.041,1,AT-88-Z,False,18.32.0.0-18.255.255.255,Amazon AWS
134.122,6,0.041,2,DIGITALOCEAN-134-122-0-0,False,134.122.0.0-134.122.127.255,DigitalOcean
netz-0fbfd790,5,0.034,1,,False,,sonstige
netz-329928a9,5,0.034,1,,False,,sonstige
netz-082ef776,5,0.034,2,,False,,sonstige
52.25,4,0.027,3,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
20.186,4,0.027,4,MSFT,True,20.180.0.0-20.191.255.255,Microsoft
40.125,4,0.027,4,MSFT,True,40.74.0.0-40.125.127.255,Microsoft
netz-2ade0f05,4,0.027,1,,False,,sonstige
netz-8c5f990d,4,0.027,2,,False,,sonstige
netz-28fb307d,4,0.027,2,,False,,sonstige
52.167,3,0.021,3,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
20.102,3,0.021,2,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.119,3,0.021,3,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
netz-ac8014ae,3,0.021,2,,False,,sonstige
52.255,3,0.021,3,MSFT,True,52.224.0.0-52.255.255.255,Microsoft
netz-1a26a5ad,3,0.021,1,,False,,sonstige
netz-fe76e4af,2,0.014,1,,False,,sonstige
netz-0e22dae9,2,0.014,2,,False,,sonstige
141.148,2,0.014,1,ORACLE-CH,False,141.148.0.0-141.148.255.255,Oracle
74.125,2,0.014,1,GOOGLE,False,74.125.0.0-74.125.255.255,Google
20.189,2,0.014,2,MSFT,True,20.180.0.0-20.191.255.255,Microsoft
192.178,2,0.014,2,GOOGLE,False,192.178.0.0-192.179.255.255,Google
